Longitude,Latitude,ID,Code,Class,Name
-115.147436,36.161328,4,1,wedding_chapel,A Special Memory Wedding Chapel
-115.144772,36.162740,3,1,wedding_chapel,Graceland Wedding Chapel
-115.146535,36.160020,5,1,wedding_chapel,Cupid's Wedding Chapel
-115.148858,36.156406,6,1,wedding_chapel,Viva Las Vegas Wedding Chapel
-115.149760,36.155086,7,1,wedding_chapel,A Little White Wedding Chapel
-115.152630,36.150351,8,1,wedding_chapel,Chapel of the Flowers
-115.155872,36.145721,9,1,wedding_chapel,A Hollywood Wedding Chapel
-115.155890,36.144833,10,1,wedding_chapel,Chapel of the Bells
-115.172219,36.086119,11,1,wedding_chapel,Little Church of the West
-115.170231,36.122477,12,1,wedding_chapel,Venetian and Palazzo Hotel
-115.172171,36.112492,13,1,wedding_chapel,Paris Las Vegas
-115.155827,36.146914,14,1,wedding_chapel,Stratosphere Chapel in the Clouds
-115.172041,36.078711,15,1,wedding_chapel,Maverick Helicopter Wedding Tours
-115.172756,36.082026,16,1,wedding_chapel,Welcome to Fabulous Las Vegas Sign
-115.144584,36.167612,17,1,wedding_chapel,Clark County Office of Civil Marriages
-115.175644,36.092747,18,1,wedding_chapel,Mandalay Bay Hotel
-115.166616,36.126358,19,1,wedding_chapel,Wynn Weddings
-115.176568,36.113320,20,1,wedding_chapel,Bellagio Hotel
