Timestamp,Tweets
2016-06-28 21:00:00,3262
2016-06-28 22:00:00,1806
2016-06-28 23:00:00,1758
2016-06-29 00:00:00,1952
2016-06-29 01:00:00,2468
2016-06-29 02:00:00,2058
2016-06-29 03:00:00,1124
2016-06-29 04:00:00,1764
2016-06-29 05:00:00,1951
2016-06-29 06:00:00,2327
2016-06-29 07:00:00,2320
2016-06-29 08:00:00,2380
2016-06-29 09:00:00,5150
2016-06-29 10:00:00,7278
2016-06-29 11:00:00,4065
2016-06-29 12:00:00,3708
2016-06-29 13:00:00,3661
2016-06-29 14:00:00,2918
2016-06-29 15:00:00,2602
2016-06-29 16:00:00,2543
2016-06-29 17:00:00,2168
2016-06-29 18:00:00,1967
2016-06-29 19:00:00,1606
2016-06-29 20:00:00,1373
2016-06-29 21:00:00,1279
2016-06-29 22:00:00,1657
2016-06-29 23:00:00,1107
2016-06-30 00:00:00,1040
2016-06-30 01:00:00,713
2016-06-30 02:00:00,894
2016-06-30 03:00:00,941
2016-06-30 04:00:00,950
2016-06-30 05:00:00,1176
2016-06-30 06:00:00,2102
2016-06-30 07:00:00,10572
2016-06-30 08:00:00,4572
2016-06-30 09:00:00,3603
2016-06-30 10:00:00,3814
2016-06-30 11:00:00,3379
2016-06-30 12:00:00,5082
2016-06-30 13:00:00,4100
2016-06-30 14:00:00,2629
2016-06-30 15:00:00,2306
2016-06-30 16:00:00,1863
2016-06-30 17:00:00,1681
2016-06-30 18:00:00,2328
2016-06-30 19:00:00,1962
2016-06-30 20:00:00,1753
2016-06-30 21:00:00,1417
2016-06-30 22:00:00,1130
2016-06-30 23:00:00,1056
2016-07-01 00:00:00,847
2016-07-01 01:00:00,1031
2016-07-01 02:00:00,1016
2016-07-01 03:00:00,1002
2016-07-01 04:00:00,1109
2016-07-01 05:00:00,1257
2016-07-01 06:00:00,1061
2016-07-01 08:00:00,1687
2016-07-01 09:00:00,1576
2016-07-01 10:00:00,1308
2016-07-03 11:00:00,1115
2016-07-03 12:00:00,1137
2016-07-03 13:00:00,982
2016-07-04 08:00:00,389
2016-07-04 09:00:00,412
2016-07-04 10:00:00,404
2016-07-04 12:00:00,728
2016-07-04 13:00:00,1424
2016-07-04 14:00:00,500
2016-07-04 22:00:00,276
2016-07-04 23:00:00,595
2016-07-05 00:00:00,554
2016-07-05 01:00:00,548
2016-07-05 02:00:00,515
2016-07-05 03:00:00,522
2016-07-05 04:00:00,685
2016-07-05 05:00:00,781
2016-07-05 06:00:00,967
2016-07-05 07:00:00,1104
2016-07-05 08:00:00,1116
2016-07-05 09:00:00,1772
2016-07-05 10:00:00,1268
2016-07-05 11:00:00,1176
2016-07-05 12:00:00,1299
2016-07-05 13:00:00,1758
2016-07-05 14:00:00,3728
2016-07-05 15:00:00,1638
2016-07-05 16:00:00,1313
2016-07-05 17:00:00,1372
2016-07-05 18:00:00,1104
2016-07-05 19:00:00,1048
2016-07-05 20:00:00,1083
2016-07-05 21:00:00,1014
2016-07-05 22:00:00,1156
2016-07-05 23:00:00,691
2016-07-06 00:00:00,770
2016-07-06 01:00:00,828
2016-07-06 02:00:00,857
2016-07-06 03:00:00,953
2016-07-06 04:00:00,1213
2016-07-06 05:00:00,1341
2016-07-06 06:00:00,1320
2016-07-06 07:00:00,1244
2016-07-06 08:00:00,1369
2016-07-06 09:00:00,1425
2016-07-06 10:00:00,1434
2016-07-06 11:00:00,1300
2016-07-06 12:00:00,1932
2016-07-06 13:00:00,1736
2016-07-06 14:00:00,1544
2016-07-06 15:00:00,1201
2016-07-06 16:00:00,1437
2016-07-06 17:00:00,1289
2016-07-06 18:00:00,1244
2016-07-06 19:00:00,1168
2016-07-06 20:00:00,1055
2016-07-06 21:00:00,959
2016-07-06 22:00:00,782
2016-07-06 23:00:00,759
2016-07-07 00:00:00,744
2016-07-07 01:00:00,798
2016-07-07 02:00:00,885
2016-07-07 03:00:00,1205
2016-07-07 04:00:00,1009
2016-07-07 05:00:00,1942
2016-07-07 06:00:00,3538
2016-07-07 07:00:00,5162
2016-07-07 08:00:00,5601
2016-07-07 09:00:00,6262
2016-07-07 10:00:00,6957
2016-07-07 11:00:00,5826
2016-07-07 12:00:00,4801
2016-07-07 13:00:00,4021
2016-07-07 14:00:00,3372
2016-07-07 15:00:00,3213
2016-07-07 16:00:00,3980
2016-07-07 17:00:00,4176
2016-07-07 18:00:00,3301
2016-07-07 19:00:00,2596
2016-07-07 20:00:00,3095
2016-07-07 21:00:00,2217
2016-07-07 22:00:00,1777
2016-07-07 23:00:00,2383
2016-07-08 00:00:00,1394
2016-07-08 01:00:00,1780
2016-07-08 02:00:00,1824
2016-07-08 03:00:00,1548
2016-07-08 04:00:00,1547
2016-07-08 05:00:00,2474
2016-07-08 06:00:00,3000
