airport
AAL
AAQ
AAR
ABA
ABZ
ACE
ACH
ACI
AER
AES
AEY
AGB
AGF
AGH
AGP
AHO
AJA
AJR
ALC
ALF
AMS
ANG
ANR
ANX
AOI
AOK
ARH
ARN
ARW
ASF
ATH
AUR
AVN
AXD
BAX
BAY
BCN
BDS
BDU
BEB
BEG
BES
BFS
BGO
BGY
BHD
BHX
BIA
BIO
BIQ
BJF
BJZ
BLK
BLL
BLQ
BMA
BNN
BNX
BOD
BOH
BOJ
BOO
BQS
BRE
BRI
BRN
BRQ
BRR
BRS
BRU
BSL
BTK
BTS
BUD
BVA
BVE
BVG
BWK
BZG
BZO
BZR
CAG
CAL
CCF
CDG
CEE
CEG
CEK
CFE
CFN
CFR
CFU
CGN
CHQ
CIA
CIY
CKH
CLJ
CLY
CPH
CRA
CRL
CSH
CTA
CUF
CVU
CWL
CYX
DBV
DCM
DEB
DEE
DIJ
DLE
DME
DND
DNK
DNR
DOK
DOL
DRS
DSA
DTM
DUB
DUS
DYR
EAS
EBA
EBJ
EBU
EDI
EFL
EGC
EGO
EGS
EIN
EMA
EOI
ERF
ETZ
EVE
EVG
EXT
EYK
FAE
FAO
FCO
FDH
FKB
FLR
FLW
FMM
FMO
FNC
FNI
FRA
FRO
FSC
FUE
GCI
GDN
GDX
GDZ
GEV
GIB
GLA
GLO
GMZ
GOA
GOJ
GOT
GPA
GRO
GRQ
GRW
GRX
GRZ
GSE
GVA
GWT
HAA
HAD
HAJ
HAM
HAU
HDF
HEL
HER
HFS
HFT
HHN
HMA
HMV
HOR
HOV
HRK
HTA
HUY
HVG
IAA
IAS
IBZ
IEV
IFJ
IFO
IJK
IKS
IKT
ILD
ILY
INN
INV
IOA
IOM
JER
JIK
JKG
JKH
JKL
JMK
JNX
JOE
JSH
JSI
JSY
JTR
JTY
JYV
KAJ
KAO
KBP
KEF
KEJ
KEM
KGD
KGP
KGS
KHV
KID
KIR
KIT
KIV
KJA
KKN
KLR
KLU
KLV
KLX
KOI
KOK
KRF
KRK
KRN
KRO
KRP
KRR
KRS
KSC
KSD
KSF
KSJ
KSU
KTW
KUF
KUN
KUO
KVA
KVK
KVX
KZN
KZS
LAI
LBA
LBC
LCA
LCG
LCY
LDE
LDY
LED
LEH
LEI
LEJ
LEN
LGG
LGW
LHR
LIG
LIL
LIN
LIS
LJU
LKL
LKN
LLA
LMP
LNZ
LPA
LPI
LPL
LPP
LPY
LRH
LRS
LRT
LSI
LTN
LUG
LUX
LWO
LXS
LYC
LYR
LYS
MAD
MAH
MAN
MCX
MEH
MHG
MHQ
MJF
MJT
MJV
MJZ
MLA
MLN
MLO
MME
MMK
MMX
MOL
MPL
MQF
MQN
MRS
MRV
MSQ
MST
MUC
MXP
MXX
NAP
NBC
NCE
NCL
NDY
NJC
NNM
NOC
NOJ
NOZ
NQY
NRK
NRL
NRN
NSK
NTE
NUE
NUX
NVK
NWI
NYA
NYM
NYO
ODS
OER
OGZ
OLA
OLB
OMO
OMR
OMS
OPO
ORK
ORY
OSD
OSI
OSL
OSR
OSW
OSY
OTP
OUL
OVB
OVD
OVS
OZH
PAD
PAS
PDL
PDV
PED
PEE
PEG
PFO
PGF
PGX
PIK
PIS
PIX
PJA
PKC
PLQ
PMF
PMI
PMO
PNA
PNL
POR
POZ
PPW
PRG
PRN
PSA
PSR
PUF
PUY
PVK
PWE
PXO
PYJ
RDZ
REG
REN
RET
REU
RGK
RGS
RHO
RIX
RJK
RJL
RKV
RLG
RMI
RNB
RNN
RNS
ROV
RRS
RTM
RTW
RVK
RVN
RYG
RZE
SBZ
SCN
SCQ
SCW
SDL
SDN
SDR
SEN
SFT
SGC
SGD
SIP
SJJ
SJZ
SKE
SKG
SKN
SKP
SKU
SLM
SLY
SMA
SMI
SNN
SOF
SOG
SOJ
SOU
SOY
SPC
SPU
SRP
SSJ
STN
STR
STW
SUF
SUJ
SVG
SVJ
SVL
SVO
SVQ
SVX
SXB
SXF
SYY
SZG
SZZ
TAY
TBW
TER
TFN
TFS
TGD
TGM
THN
TIA
TIV
TJM
TKU
TLL
TLN
TLS
TMP
TOF
TOS
TPS
TQL
TRD
TRE
TRF
TRN
TRS
TSF
TSR
TUF
TXL
TYF
UCT
UDJ
UFA
UIP
UKS
ULK
UME
URE
URJ
URS
USK
UUA
UUD
UUS
VAA
VAR
VAW
VBY
VCE
VDB
VDE
VDS
VGO
VHM
VIE
VKO
VKT
VLC
VLL
VLY
VNO
VOG
VOL
VOZ
VRN
VST
VVO
VXO
WAT
WAW
WIC
WMI
WRO
WRY
XCR
XFW
XRY
YKS
ZAD
ZAG
ZAZ
ZQW
ZRH
ZTH
