airport
ABE
ABI
ABL
ABQ
ABR
ABY
ACA
ACK
ACT
ACV
ACY
ADK
ADQ
AET
AEX
AGS
AGU
AHN
AIN
AKB
AKK
AKN
AKP
ALB
ALO
ALS
ALW
AMA
ANC
ANI
ANV
AOO
APN
ARC
ART
ASE
ATK
ATL
ATW
ATY
AUG
AUK
AUS
AVL
AVP
AZA
AZO
BDL
BET
BFD
BFF
BFI
BFL
BGM
BGR
BHB
BHM
BIL
BIS
BJI
BJX
BKC
BKW
BLI
BLV
BMI
BNA
BOI
BOS
BPT
BQK
BRD
BRL
BRO
BRW
BTI
BTM
BTR
BTT
BTV
BUF
BUR
BWI
BZN
CAE
CAK
CDB
CDC
CDV
CEC
CEN
CEZ
CGI
CHA
CHO
CHS
CIC
CID
CIU
CJS
CKB
CLD
CLE
CLL
CLM
CLQ
CLT
CME
CMH
CMI
CMX
CNM
CNP
CNY
COD
COS
COU
CPE
CPR
CRP
CRW
CSG
CTM
CUL
CUN
CUU
CVG
CVM
CWA
CXH
CYF
CYS
CZM
DAB
DAL
DAY
DBQ
DCA
DDC
DEC
DEN
DFW
DGO
DHN
DIK
DLG
DLH
DRG
DRO
DSM
DTW
DUJ
DUT
EAT
EAU
ECP
EGE
EKO
ELD
ELI
ELM
ELP
EMK
ENA
ERI
ESC
EUG
EVV
EWB
EWN
EWR
EYW
FAI
FAR
FAT
FAY
FCA
FKL
FLG
FLL
FLO
FMN
FNT
FOE
FSD
FSM
FSP
FWA
FYU
GAL
GAM
GCC
GCK
GCN
GDL
GDV
GEG
GFK
GGG
GGW
GJT
GLH
GLV
GNV
GOH
GPT
GRB
GRI
GRK
GRR
GSO
GSP
GST
GTF
GTR
GUC
HCR
HDN
HGR
HHH
HIB
HKB
HLN
HMO
HNH
HNL
HNM
HNS
HOB
HOM
HON
HOT
HOU
HPB
HPN
HRL
HRO
HSL
HSV
HTS
HUX
HVN
HVR
HYA
IAD
IAG
IAH
IAN
ICT
IDA
ILG
ILI
ILM
IMT
IND
INL
IPL
IPT
IRK
ISN
ISP
ITH
ITO
JAC
JAL
JAN
JAV
JAX
JBR
JEG
JFK
JFR
JHM
JHS
JHW
JJU
JLN
JNN
JNS
JNU
JQA
JST
JSU
JUV
KAL
KFP
KKA
KKH
KLG
KLW
KOA
KOT
KPN
KQA
KSM
KTN
KTS
KVC
KVL
KWK
KWN
KWT
LAM
LAN
LAP
LAR
LAS
LAW
LAX
LBB
LBE
LBF
LBL
LCH
LCK
LEB
LEX
LFT
LGA
LGB
LIH
LIT
LLU
LMM
LMT
LNK
LNS
LNY
LRD
LSE
LTO
LWB
LWS
LYH
LZC
MAF
MAM
MBS
MCE
MCG
MCI
MCK
MCN
MCO
MDT
MDW
MEI
MEM
MEX
MFE
MFR
MGM
MGW
MHK
MHT
MIA
MID
MKE
MKG
MKK
MKL
MLB
MLI
MLM
MLU
MMH
MOB
MOD
MOT
MOU
MQT
MRY
MSL
MSN
MSO
MSP
MSS
MSY
MTJ
MTM
MTT
MTY
MUE
MVY
MWA
MXL
MYR
MZT
NAQ
NLD
NLG
NUI
NUL
OAJ
OAK
OAX
OBY
OGD
OGG
OGS
OKC
OLF
OMA
OME
ONT
ORD
ORF
ORH
ORV
OTH
OTZ
OWB
PAH
PAZ
PBC
PBG
PBI
PDS
PDT
PDX
PGA
PGD
PGV
PHF
PHL
PHX
PIA
PIB
PIE
PIH
PIR
PIT
PIZ
PKB
PLN
PNS
PQI
PRC
PSC
PSG
PSM
PSP
PUB
PUW
PVC
PVD
PVR
PVU
PWM
PXM
QBC
QRO
RAP
RBY
RDD
RDM
RDU
REX
RFD
RHI
RIC
RIW
RKD
RKS
RNO
ROA
ROC
ROW
RSH
RST
RSW
RUT
SAF
SAN
SAT
SAV
SBA
SBN
SBP
SBY
SCC
SCE
SCK
SDF
SDP
SDY
SEA
SFB
SFJ
SFO
SGF
SGU
SGY
SHD
SHH
SHR
SHV
SHX
SIT
SJC
SJD
SJT
SKK
SLC
SLK
SLN
SLP
SLW
SMF
SMK
SMX
SNA
SNP
SOW
SPS
SRQ
STC
STG
STL
STS
SUX
SVA
SWF
SYR
TAM
TAP
TBN
TEB
TGZ
THU
TIJ
TLA
TLC
TLH
TOG
TOL
TPA
TPQ
TRC
TRI
TTN
TUL
TUP
TUS
TVC
TVF
TWF
TXK
TYR
TYS
UAK
UIN
UMD
UNK
UPN
UST
VAK
VCT
VDZ
VEE
VEL
VER
VIS
VLD
VPS
VSA
WAA
WLK
WMO
WRG
WRL
WTK
XNA
YAB
YAG
YAK
YAM
YBC
YBG
YBK
YBL
YBR
YBX
YCB
YCD
YCG
YCO
YCS
YCY
YDF
YDP
YEG
YEK
YEV
YFB
YFC
YFJ
YFO
YFS
YGH
YGK
YGP
YGR
YGT
YGV
YGX
YGZ
YHD
YHI
YHK
YHM
YHO
YHR
YHY
YHZ
YIF
YIO
YKA
YKF
YKM
YLC
YLE
YLW
YMM
YMN
YNA
YNG
YOW
YPN
YPR
YPW
YPY
YQB
YQD
YQF
YQG
YQK
YQL
YQM
YQQ
YQR
YQT
YQU
YQX
YQY
YQZ
YRA
YRB
YRG
YRL
YRT
YSB
YSG
YSJ
YSK
YSM
YSO
YTE
YTH
YTS
YTZ
YUL
YUM
YUT
YUX
YUY
YVM
YVO
YVP
YVQ
YVR
YWG
YWH
YWJ
YWK
YWL
YXC
YXE
YXH
YXJ
YXL
YXN
YXP
YXS
YXT
YXU
YXX
YXY
YYB
YYC
YYD
YYF
YYG
YYH
YYJ
YYQ
YYR
YYT
YYU
YYY
YYZ
YZF
YZP
YZR
YZS
YZT
YZV
YZZ
ZBF
ZCL
ZEL
ZFN
ZIH
ZKG
ZLO
ZLT
ZMT
ZTB
